id,status,vehicle_id,proposer_id,dealer_id,customer_id,category,signature_url,insurer_form_url,mileage_coverage,duration,start_at,end_at,warranty_start_override,price,max_claim,premium,remarks,cancel_remarks
733,completed,820,807,26,737,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598315987-rfq_1598315986_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598315986_on_1598326683.pdf,130000,5,8/25/2020,8/24/2025,FALSE,1400,10000,,,
735,archive,822,809,2,739,preowned_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598339787-rfq_1598339672_signature_txt,,25000,1,8/23/2020,8/22/2021,FALSE,1080,10000,,,
736,completed,823,810,26,740,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598402391-rfq_1598402390_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598402390_on_1598416271.pdf,130000,5,8/26/2020,8/25/2025,FALSE,600,10000,,,
737,completed,824,811,26,741,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598402824-rfq_1598402824_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598402824_on_1598424541.pdf,130000,5,8/26/2020,8/25/2025,FALSE,1400,10000,,,
738,completed,825,812,26,742,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598403626-rfq_1598403624_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598403624_on_1598423079.pdf,130000,5,8/26/2020,8/25/2025,FALSE,1400,10000,,,
739,completed,826,813,26,743,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598404071-rfq_1598404070_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598404070_on_1598426762.pdf,130000,5,8/26/2020,8/25/2025,FALSE,1100,10000,,,
740,completed,827,814,26,744,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598405371-rfq_1598405370_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598405370_on_1598425063.pdf,130000,5,8/26/2020,8/25/2025,FALSE,1500,10000,,,
741,completed,828,815,26,745,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598405714-rfq_1598405713_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598405713_on_1598428738.pdf,130000,5,8/26/2020,8/25/2025,FALSE,1400,10000,,,
742,completed,829,816,2,739,preowned_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598405926-rfq_1598405925_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598405925_on_1598429901.pdf,25000,1,8/26/2020,8/25/2021,FALSE,1080,10000,,"Premium: $800
Register Date : 25/08/2020
",
743,completed,830,817,26,746,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1598406414-rfq_1598406412_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1598406412_on_1598430472.pdf,130000,5,8/26/2020,8/25/2025,FALSE,600,10000,,,
